ModelDate,Ticker,GICCode,CustomIndustryGroupCode,GICIndustryGroupCode,IndustryGroup,GICSectorCode,Sector,InitialOutvestDecision,QuantitativeDecisionDate,QuantitativeDecision,ChangeInGrowthRateDate,ChangeInGrowthRate,RevGrowth1QAgo,RevGrowth,BBDate,conflict,latestRevGrowth,NewInfoIndicator,FinalDecisionCode,FinalDecision,NewFinalDecisionIndicator,SP500Weight,Name,MktCapinThousands,Pclose,RebalanceWeight,Shares,MktValueOfShares
3/31/2017,ETR US EQUITY,55101010,27,5510,Utilities,55,Utilities,Outvested,2/16/2017,Reinvest,2/15/2017,0.393,-0.096,-0.058,,Yes,-0.057985799,,4,Outvested,,0.067206853,ENTERGY CORP,13684574,75.96,,,
3/31/2017,EXC US EQUITY,55101010,27,5510,Utilities,55,Utilities,Outvested,10/27/2016,Reinvest,10/26/2016,1.199,-0.031,0.006,,Yes,0.064964173,,2,Invested,,0.164424691,EXELON CORP,33308953,35.98,0.227067842,315,11334
3/31/2017,FE US EQUITY,55101010,27,5510,Utilities,55,Utilities,Outvested,11/8/2016,Outvest,11/4/2016,-2.175,0.014,-0.016,,,-0.030879808,,4,Outvested,,0.069440066,FIRSTENERGY CORP,14118439,31.82,,,
3/31/2017,LNT US EQUITY,55101010,27,5510,Utilities,55,Utilities,Outvested,2/24/2017,Reinvest,2/23/2017,2.242,-0.016,0.02,,Yes,0.020408163,,2,Invested,,0.044479648,ALLIANT ENERGY CORP,9018682,39.61,0.061425676,78,3090
3/31/2017,NEE US EQUITY,55101010,27,5510,Utilities,55,Utilities,Outvested,1/30/2017,Reinvest,1/27/2017,0.116,-0.086,-0.076,,Yes,-0.076008007,,4,Outvested,,0.296032636,NEXTERA ENERGY INC,60098726,128.37,,,
3/31/2017,NI US EQUITY,55103010,27,5510,Utilities,55,Utilities,Outvested,8/3/2016,Reinvest,8/2/2016,0.254,-0.259,-0.193,,Yes,-0.034244808,,4,Outvested,,0.037950237,NISOURCE INC,7694780,23.79,,,
3/31/2017,NRG US EQUITY,55105010,27,5510,Utilities,55,Utilities,Outvested,3/1/2017,Reinvest,2/28/2017,0.17,-0.191,-0.158,,Yes,-0.15830721,,4,Outvested,,0.029141362,NRG ENERGY INC,5910715,18.7,,,
3/31/2017,PCG US EQUITY,55101010,27,5510,Utilities,55,Utilities,Outvested,11/7/2016,Reinvest,11/4/2016,1.297,-0.029,0.009,,Yes,0.049486128,,2,Invested,,0.165897591,P G & E CORP,33696414,66.36,0.229101894,173,11480
3/31/2017,PEG US EQUITY,55103010,27,5510,Utilities,55,Utilities,Outvested,2/27/2017,Reinvest,2/24/2017,0.146,-0.152,-0.13,,Yes,-0.130004801,,4,Outvested,,0.110725746,PUBLIC SERVICE ENTERPRISE GP,22450724,44.35,,,
3/31/2017,PNW US EQUITY,55101010,27,5510,Utilities,55,Utilities,Outvested,11/7/2016,Outvest,11/3/2016,-0.902,0.019,0.002,,,0.000926635,,4,Outvested,,0.04578586,PINNACLE WEST CAPITAL,9301539,83.38,,,
3/31/2017,PPL US EQUITY,55101010,27,5510,Utilities,55,Utilities,Outvested,8/10/2016,Reinvest,8/9/2016,0.157,-0.056,-0.047,,Yes,-0.019820055,,4,Outvested,,0.125346095,PPL CORP,25415142,37.39,,,
3/31/2017,SCG US EQUITY,55103010,27,5510,Utilities,55,Utilities,Outvested,10/28/2016,Reinvest,10/27/2016,0.122,-0.126,-0.11,,Yes,-0.034931507,,4,Outvested,,0.046062526,SCANA CORP,9339626,65.35,,,
3/31/2017,SO US EQUITY,55101010,27,5510,Utilities,55,Utilities,Outvested,4/28/2016,Reinvest,4/27/2016,0.221,-0.055,-0.043,,Yes,0.136085539,,2,Invested,,0.243315157,SOUTHERN CO/THE,49375786,49.78,0.3360143,337,16776
3/31/2017,SRE US EQUITY,55103010,27,5510,Utilities,55,Utilities,Outvested,8/5/2016,Reinvest,8/4/2016,0.108,-0.069,-0.061,,Yes,-0.004691623,,4,Outvested,,0.136541463,SEMPRA ENERGY,27691852,110.5,,,
3/31/2017,SIG US EQUITY,25504040,12,2550,Retailing,25,Consumer Discretionary,Outvested,11/25/2016,Outvest,11/22/2016,-0.418,0.026,0.015,,,-0.021648194,,4,Outvested,,0.023777856,SIGNET JEWELERS LTD,4731141,69.27,,,
3/31/2017,SPLS US EQUITY,25504040,12,2550,Retailing,25,Consumer Discretionary,Outvested,3/10/2017,Reinvest,3/9/2017,0.513,-0.072,-0.035,,Yes,-0.035095426,,4,Outvested,,0.028138171,STAPLES INC,5722688,8.77,,,
3/31/2017,TGT US EQUITY,25503020,12,2550,Retailing,25,Consumer Discretionary,Outvested,11/18/2016,Outvest,11/16/2016,-0.778,-0.026,-0.047,,,-0.058128346,,4,Outvested,,0.151382366,TARGET CORP,30502133,55.19,,,
3/31/2017,TIF US EQUITY,25504040,12,2550,Retailing,25,Consumer Discretionary,Outvested,11/30/2016,Reinvest,11/29/2016,0.141,-0.053,-0.046,,Yes,-0.045628707,,4,Outvested,,0.050306253,TIFFANY & CO,11871044,95.3,,,
